--------- beginning of main
--------- beginning of system
08-04 01:21:40.579 24214  4805 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-04 01:21:40.581 24214  4805 D CustomInterceptor: HEADER REQUEST
08-04 01:21:40.581 24214  4805 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 01:21:40.581 24214  4805 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 21:08:20 GMT; Max-Age=63072000; Path=/
08-04 01:21:40.581 24214  4805 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-04 01:21:40.581 24214  4805 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-04 01:21:40.581 24214  4805 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 01:21:41.132 24214  4805 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 01:21:41.152 24214  4805 D CustomInterceptor: HEADER RESPONSE
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Connection close
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Content-Type application/json
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Date Mon, 03 Aug 2020 23:21:35 GMT
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Expires Mon, 03 Aug 2020 23:26:41 GMT+00:00
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Last-Modified Mon, 03 Aug 2020 23:21:35 GMT
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Server gunicorn/19.7.0
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Transfer-Encoding chunked
08-04 01:21:41.152 24214  4805 D CustomInterceptor: Vary Cookie
08-04 01:21:41.152 24214  4805 D CustomInterceptor: X-gunicorn-server app14
08-04 01:21:41.152 24214  4805 D CustomInterceptor: X-Homer You don't win friends with salad.
08-04 01:21:41.152 24214  4805 D CustomInterceptor: CACHEABLE true
08-04 01:21:41.153 24214  4805 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-04 01:21:41.153 24214  4805 D CustomInterceptor: REQ_SERV_BY net
08-04 01:21:41.153 24214  4805 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-04 01:21:41.154 24214  4805 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 01:21:41.181 24214  4833 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-04 01:21:41.181 24214  4833 D CustomInterceptor: HEADER REQUEST
08-04 01:21:41.181 24214  4833 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 01:21:41.181 24214  4833 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 21:08:20 GMT; Max-Age=63072000; Path=/
08-04 01:21:41.181 24214  4833 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-04 01:21:41.181 24214  4833 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-04 01:21:41.181 24214  4833 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 01:21:41.633 24214  4833 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 01:21:41.635 24214  4833 D CustomInterceptor: HEADER RESPONSE
08-04 01:21:41.636 24214  4833 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 01:21:41.636 24214  4833 D CustomInterceptor: Connection close
08-04 01:21:41.636 24214  4833 D CustomInterceptor: Content-Type application/json
08-04 01:21:41.636 24214  4833 D CustomInterceptor: Date Mon, 03 Aug 2020 23:21:36 GMT
08-04 01:21:41.636 24214  4833 D CustomInterceptor: Expires Mon, 03 Aug 2020 23:26:41 GMT+00:00
08-04 01:21:41.636 24214  4833 D CustomInterceptor: Server gunicorn/19.7.0
08-04 01:21:41.636 24214  4833 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-04 01:21:41.637 24214  4833 D CustomInterceptor: Transfer-Encoding chunked
08-04 01:21:41.637 24214  4833 D CustomInterceptor: Vary Cookie
08-04 01:21:41.637 24214  4833 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-04 01:21:41.637 24214  4833 D CustomInterceptor: X-gunicorn-server app17
08-04 01:21:41.637 24214  4833 D CustomInterceptor: CACHEABLE true
08-04 01:21:41.637 24214  4833 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-04 01:21:41.637 24214  4833 D CustomInterceptor: REQ_SERV_BY net
08-04 01:21:41.637 24214  4833 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-04 01:21:41.640 24214  4833 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 01:21:46.210 24214  4997 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-04 01:21:46.212 24214  4997 D CustomInterceptor: HEADER REQUEST
08-04 01:21:46.212 24214  4997 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
