--------- beginning of main
--------- beginning of system
08-06 17:40:35.101 25366  9446 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-06 17:40:35.102 25366  9446 D CustomInterceptor: HEADER REQUEST
08-06 17:40:35.102 25366  9446 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-06 17:40:35.102 25366  9446 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Fri, 05 Aug 2022 20:40:09 GMT; Max-Age=63072000; Path=/
08-06 17:40:35.102 25366  9446 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-06 17:40:35.102 25366  9446 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-06 17:40:35.103 25366  9446 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-06 17:40:35.687 25366  9446 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-06 17:40:35.720 25366  9446 D CustomInterceptor: HEADER RESPONSE
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Connection close
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Content-Type application/json
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Date Thu, 06 Aug 2020 15:40:31 GMT
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Expires Thu, 06 Aug 2020 15:45:35 GMT+00:00
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Last-Modified Thu, 06 Aug 2020 15:40:31 GMT
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Server gunicorn/19.7.0
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Transfer-Encoding chunked
08-06 17:40:35.720 25366  9446 D CustomInterceptor: Vary Cookie
08-06 17:40:35.720 25366  9446 D CustomInterceptor: X-gunicorn-server app14
08-06 17:40:35.720 25366  9446 D CustomInterceptor: X-Homer You don't win friends with salad.
08-06 17:40:35.721 25366  9446 D CustomInterceptor: CACHEABLE true
08-06 17:40:35.721 25366  9446 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-06 17:40:35.721 25366  9446 D CustomInterceptor: REQ_SERV_BY net
08-06 17:40:35.721 25366  9446 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-06 17:40:35.723 25366  9446 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-06 17:40:35.760 25366  9472 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-06 17:40:35.761 25366  9472 D CustomInterceptor: HEADER REQUEST
08-06 17:40:35.761 25366  9472 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-06 17:40:35.761 25366  9472 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Fri, 05 Aug 2022 20:40:09 GMT; Max-Age=63072000; Path=/
08-06 17:40:35.761 25366  9472 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-06 17:40:35.761 25366  9472 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-06 17:40:35.761 25366  9472 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-06 17:40:36.167 25366  9472 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-06 17:40:36.169 25366  9472 D CustomInterceptor: HEADER RESPONSE
08-06 17:40:36.169 25366  9472 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-06 17:40:36.169 25366  9472 D CustomInterceptor: Connection close
08-06 17:40:36.169 25366  9472 D CustomInterceptor: Content-Type application/json
08-06 17:40:36.169 25366  9472 D CustomInterceptor: Date Thu, 06 Aug 2020 15:40:31 GMT
