--------- beginning of main
--------- beginning of system
08-06 04:51:36.977 18491  6980 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-06 04:51:36.978 18491  6980 D CustomInterceptor: HEADER REQUEST
08-06 04:51:36.978 18491  6980 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-06 04:51:36.978 18491  6980 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Fri, 05 Aug 2022 20:40:09 GMT; Max-Age=63072000; Path=/
08-06 04:51:36.978 18491  6980 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-06 04:51:36.978 18491  6980 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-06 04:51:36.978 18491  6980 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-06 04:51:37.565 18491  6980 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-06 04:51:37.603 18491  6980 D CustomInterceptor: HEADER RESPONSE
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Connection close
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Content-Type application/json
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Date Thu, 06 Aug 2020 02:51:32 GMT
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Expires Thu, 06 Aug 2020 02:56:37 GMT+00:00
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Last-Modified Thu, 06 Aug 2020 02:51:32 GMT
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Server gunicorn/19.7.0
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Transfer-Encoding chunked
08-06 04:51:37.604 18491  6980 D CustomInterceptor: Vary Cookie
08-06 04:51:37.604 18491  6980 D CustomInterceptor: X-gunicorn-server app14
08-06 04:51:37.604 18491  6980 D CustomInterceptor: X-Homer You don't win friends with salad.
08-06 04:51:37.604 18491  6980 D CustomInterceptor: CACHEABLE true
08-06 04:51:37.605 18491  6980 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-06 04:51:37.605 18491  6980 D CustomInterceptor: REQ_SERV_BY net
08-06 04:51:37.605 18491  6980 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-06 04:51:37.607 18491  6980 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-06 04:51:37.641 18491  7012 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-06 04:51:37.642 18491  7012 D CustomInterceptor: HEADER REQUEST
08-06 04:51:37.642 18491  7012 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-06 04:51:37.642 18491  7012 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Fri, 05 Aug 2022 20:40:09 GMT; Max-Age=63072000; Path=/
08-06 04:51:37.642 18491  7012 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-06 04:51:37.642 18491  7012 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-06 04:51:37.642 18491  7012 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-06 04:51:38.028 18491  7012 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-06 04:51:38.029 18491  7012 D CustomInterceptor: HEADER RESPONSE
08-06 04:51:38.029 18491  7012 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-06 04:51:38.030 18491  7012 D CustomInterceptor: Connection close
08-06 04:51:38.030 18491  7012 D CustomInterceptor: Content-Type application/json
08-06 04:51:38.030 18491  7012 D CustomInterceptor: Date Thu, 06 Aug 2020 02:51:33 GMT
08-06 04:51:38.030 18491  7012 D CustomInterceptor: Expires Thu, 06 Aug 2020 02:56:38 GMT+00:00
08-06 04:51:38.030 18491  7012 D CustomInterceptor: Server gunicorn/19.7.0
08-06 04:51:38.030 18491  7012 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-06 04:51:38.030 18491  7012 D CustomInterceptor: Transfer-Encoding chunked
08-06 04:51:38.030 18491  7012 D CustomInterceptor: Vary Cookie
08-06 04:51:38.030 18491  7012 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-06 04:51:38.030 18491  7012 D CustomInterceptor: X-gunicorn-server app17
08-06 04:51:38.030 18491  7012 D CustomInterceptor: CACHEABLE true
08-06 04:51:38.030 18491  7012 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-06 04:51:38.030 18491  7012 D CustomInterceptor: REQ_SERV_BY net
08-06 04:51:38.030 18491  7012 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-06 04:51:38.033 18491  7012 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-06 04:51:42.818 18491  7181 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-06 04:51:42.819 18491  7181 D CustomInterceptor: HEADER REQUEST
08-06 04:51:42.819 18491  7181 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-06 04:51:42.819 18491  7181 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Fri, 05 Aug 2022 20:40:09 GMT; Max-Age=63072000; Path=/
08-06 04:51:42.819 18491  7181 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-06 04:51:42.819 18491  7181 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-06 04:51:42.819 18491  7181 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-06 04:51:43.386 18491  7181 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-06 04:51:43.387 18491  7181 D CustomInterceptor: HEADER RESPONSE
08-06 04:51:43.387 18491  7181 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-06 04:51:43.387 18491  7181 D CustomInterceptor: Connection close
08-06 04:51:43.388 18491  7181 D CustomInterceptor: Content-Type application/json
08-06 04:51:43.388 18491  7181 D CustomInterceptor: Date Thu, 06 Aug 2020 02:51:38 GMT
08-06 04:51:43.388 18491  7181 D CustomInterceptor: Expires Thu, 06 Aug 2020 02:56:43 GMT+00:00
08-06 04:51:43.388 18491  7181 D CustomInterceptor: Server gunicorn/19.7.0
08-06 04:51:43.388 18491  7181 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-06 04:51:43.388 18491  7181 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-06 04:51:43.388 18491  7181 D CustomInterceptor: X-gunicorn-server app12
08-06 04:51:43.388 18491  7181 D CustomInterceptor: X-Homer Save me, Jeebus.
08-06 04:51:43.388 18491  7181 D CustomInterceptor: CACHEABLE true
08-06 04:51:43.388 18491  7181 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-06 04:51:43.388 18491  7181 D CustomInterceptor: REQ_SERV_BY net
08-06 04:51:43.388 18491  7181 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-06 04:51:43.394 18491  7181 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-06 04:51:43.536 18491  7208 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-06 04:51:43.537 18491  7208 D CustomInterceptor: HEADER REQUEST
08-06 04:51:43.537 18491  7208 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-06 04:51:43.537 18491  7208 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '3', toString = 'LruCache[maxSize=100,hits=3,misses=3,hitRate=50%]', 
08-06 04:51:43.538 18491  7208 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-06 04:51:43.552 18491  7209 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-06 04:51:43.552 18491  7209 D CustomInterceptor: HEADER REQUEST
08-06 04:51:43.552 18491  7209 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
