--------- beginning of main
--------- beginning of system
08-04 03:13:44.170 32275  8633 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-04 03:13:44.171 32275  8633 D CustomInterceptor: HEADER REQUEST
08-04 03:13:44.171 32275  8633 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 03:13:44.171 32275  8633 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 21:08:20 GMT; Max-Age=63072000; Path=/
08-04 03:13:44.171 32275  8633 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-04 03:13:44.171 32275  8633 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-04 03:13:44.172 32275  8633 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 03:13:44.736 32275  8633 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 03:13:44.785 32275  8633 D CustomInterceptor: HEADER RESPONSE
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Connection close
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Content-Type application/json
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Date Tue, 04 Aug 2020 01:13:39 GMT
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Expires Tue, 04 Aug 2020 01:18:44 GMT+00:00
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 01:13:39 GMT
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Server gunicorn/19.7.0
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Transfer-Encoding chunked
08-04 03:13:44.785 32275  8633 D CustomInterceptor: Vary Cookie
08-04 03:13:44.785 32275  8633 D CustomInterceptor: X-gunicorn-server app14
08-04 03:13:44.785 32275  8633 D CustomInterceptor: X-Homer You don't win friends with salad.
08-04 03:13:44.785 32275  8633 D CustomInterceptor: CACHEABLE true
08-04 03:13:44.786 32275  8633 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-04 03:13:44.786 32275  8633 D CustomInterceptor: REQ_SERV_BY net
08-04 03:13:44.786 32275  8633 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-04 03:13:44.788 32275  8633 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 03:13:44.832 32275  8668 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-04 03:13:44.833 32275  8668 D CustomInterceptor: HEADER REQUEST
08-04 03:13:44.833 32275  8668 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 03:13:44.833 32275  8668 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 21:08:20 GMT; Max-Age=63072000; Path=/
08-04 03:13:44.833 32275  8668 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-04 03:13:44.833 32275  8668 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-04 03:13:44.833 32275  8668 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 03:13:45.317 32275  8668 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 03:13:45.319 32275  8668 D CustomInterceptor: HEADER RESPONSE
08-04 03:13:45.319 32275  8668 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 03:13:45.319 32275  8668 D CustomInterceptor: Connection close
08-04 03:13:45.319 32275  8668 D CustomInterceptor: Content-Type application/json
08-04 03:13:45.319 32275  8668 D CustomInterceptor: Date Tue, 04 Aug 2020 01:13:40 GMT
08-04 03:13:45.319 32275  8668 D CustomInterceptor: Expires Tue, 04 Aug 2020 01:18:45 GMT+00:00
08-04 03:13:45.319 32275  8668 D CustomInterceptor: Server gunicorn/19.7.0
08-04 03:13:45.320 32275  8668 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-04 03:13:45.320 32275  8668 D CustomInterceptor: Transfer-Encoding chunked
08-04 03:13:45.320 32275  8668 D CustomInterceptor: Vary Cookie
08-04 03:13:45.320 32275  8668 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-04 03:13:45.320 32275  8668 D CustomInterceptor: X-gunicorn-server app17
08-04 03:13:45.320 32275  8668 D CustomInterceptor: CACHEABLE true
08-04 03:13:45.321 32275  8668 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-04 03:13:45.321 32275  8668 D CustomInterceptor: REQ_SERV_BY net
08-04 03:13:45.321 32275  8668 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-04 03:13:45.327 32275  8668 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-04 03:13:49.997 32275  8857 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-04 03:13:49.998 32275  8857 D CustomInterceptor: HEADER REQUEST
08-04 03:13:49.998 32275  8857 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-04 03:13:49.998 32275  8857 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Wed, 03 Aug 2022 21:08:20 GMT; Max-Age=63072000; Path=/
08-04 03:13:49.998 32275  8857 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-04 03:13:49.998 32275  8857 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-04 03:13:49.998 32275  8857 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-04 03:13:50.554 32275  8857 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-04 03:13:50.556 32275  8857 D CustomInterceptor: HEADER RESPONSE
08-04 03:13:50.556 32275  8857 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-04 03:13:50.556 32275  8857 D CustomInterceptor: Connection close
