--------- beginning of main
--------- beginning of system
08-05 00:49:56.943 27131  9361 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 00:49:56.944 27131  9361 D CustomInterceptor: HEADER REQUEST
08-05 00:49:56.944 27131  9361 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 00:49:56.944 27131  9361 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:31:07 GMT; Max-Age=63072000; Path=/
08-05 00:49:56.944 27131  9361 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 00:49:56.944 27131  9361 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-05 00:49:56.945 27131  9361 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 00:49:57.698 27131  9361 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 00:49:57.729 27131  9361 D CustomInterceptor: HEADER RESPONSE
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Connection close
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Content-Type application/json
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Date Tue, 04 Aug 2020 22:49:52 GMT
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Expires Tue, 04 Aug 2020 22:54:57 GMT+00:00
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 22:49:52 GMT
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Server gunicorn/19.7.0
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Transfer-Encoding chunked
08-05 00:49:57.730 27131  9361 D CustomInterceptor: Vary Cookie
08-05 00:49:57.730 27131  9361 D CustomInterceptor: X-gunicorn-server app14
08-05 00:49:57.730 27131  9361 D CustomInterceptor: X-Homer You don't win friends with salad.
08-05 00:49:57.730 27131  9361 D CustomInterceptor: CACHEABLE true
08-05 00:49:57.730 27131  9361 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 00:49:57.731 27131  9361 D CustomInterceptor: REQ_SERV_BY net
08-05 00:49:57.731 27131  9361 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 00:49:57.733 27131  9361 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 00:49:57.766 27131  9382 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 00:49:57.768 27131  9382 D CustomInterceptor: HEADER REQUEST
08-05 00:49:57.768 27131  9382 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 00:49:57.768 27131  9382 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:31:07 GMT; Max-Age=63072000; Path=/
08-05 00:49:57.768 27131  9382 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 00:49:57.769 27131  9382 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-05 00:49:57.770 27131  9382 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 00:49:58.423 27131  9382 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 00:49:58.425 27131  9382 D CustomInterceptor: HEADER RESPONSE
08-05 00:49:58.425 27131  9382 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 00:49:58.425 27131  9382 D CustomInterceptor: Connection close
08-05 00:49:58.425 27131  9382 D CustomInterceptor: Content-Type application/json
08-05 00:49:58.425 27131  9382 D CustomInterceptor: Date Tue, 04 Aug 2020 22:49:53 GMT
08-05 00:49:58.425 27131  9382 D CustomInterceptor: Expires Tue, 04 Aug 2020 22:54:58 GMT+00:00
08-05 00:49:58.425 27131  9382 D CustomInterceptor: Server gunicorn/19.7.0
08-05 00:49:58.425 27131  9382 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 00:49:58.425 27131  9382 D CustomInterceptor: Transfer-Encoding chunked
08-05 00:49:58.425 27131  9382 D CustomInterceptor: Vary Cookie
08-05 00:49:58.425 27131  9382 D CustomInterceptor: X-Chief-Wiggum I hope this has taught you kids a lesson: kids never learn.
08-05 00:49:58.425 27131  9382 D CustomInterceptor: X-gunicorn-server app17
08-05 00:49:58.427 27131  9382 D CustomInterceptor: CACHEABLE true
08-05 00:49:58.427 27131  9382 D CustomInterceptor: REQ https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 00:49:58.427 27131  9382 D CustomInterceptor: REQ_SERV_BY net
08-05 00:49:58.427 27131  9382 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 00:49:58.430 27131  9382 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 00:50:03.701 27131  9573 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 00:50:03.702 27131  9573 D CustomInterceptor: HEADER REQUEST
08-05 00:50:03.702 27131  9573 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 00:50:03.702 27131  9573 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:31:07 GMT; Max-Age=63072000; Path=/
08-05 00:50:03.702 27131  9573 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 00:50:03.702 27131  9573 D CustomInterceptor: CACHED STATS: size = '2', maxSize = '100', hitCount = '2', createCount = '0', putCount = '2', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=2,misses=2,hitRate=50%]', 
08-05 00:50:03.702 27131  9573 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 00:50:04.223 27131  9573 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
