--------- beginning of main
--------- beginning of system
08-05 17:15:13.294 24542  4658 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 17:15:13.295 24542  4658 D CustomInterceptor: HEADER REQUEST
08-05 17:15:13.295 24542  4658 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:13.295 24542  4658 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:31:07 GMT; Max-Age=63072000; Path=/
08-05 17:15:13.295 24542  4658 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 17:15:13.295 24542  4658 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-05 17:15:13.295 24542  4658 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 17:15:13.923 24542  4658 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 17:15:13.970 24542  4658 D CustomInterceptor: HEADER RESPONSE
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Connection close
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Content-Type application/json
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Date Wed, 05 Aug 2020 15:15:09 GMT
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Expires Wed, 05 Aug 2020 15:20:13 GMT+00:00
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Last-Modified Wed, 05 Aug 2020 15:15:09 GMT
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Server gunicorn/19.7.0
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Transfer-Encoding chunked
08-05 17:15:13.970 24542  4658 D CustomInterceptor: Vary Cookie
08-05 17:15:13.970 24542  4658 D CustomInterceptor: X-gunicorn-server app14
08-05 17:15:13.970 24542  4658 D CustomInterceptor: X-Homer You don't win friends with salad.
08-05 17:15:13.971 24542  4658 D CustomInterceptor: CACHEABLE true
08-05 17:15:13.971 24542  4658 D CustomInterceptor: REQ https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 17:15:13.971 24542  4658 D CustomInterceptor: REQ_SERV_BY net
08-05 17:15:13.971 24542  4658 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feeds/?update_counts=true
08-05 17:15:13.973 24542  4658 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 17:15:14.015 24542  4684 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1
08-05 17:15:14.016 24542  4684 D CustomInterceptor: HEADER REQUEST
08-05 17:15:14.016 24542  4684 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 17:15:14.016 24542  4684 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:31:07 GMT; Max-Age=63072000; Path=/
08-05 17:15:14.016 24542  4684 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 17:15:14.016 24542  4684 D CustomInterceptor: CACHED STATS: size = '1', maxSize = '100', hitCount = '1', createCount = '0', putCount = '1', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=1,misses=1,hitRate=50%]', 
08-05 17:15:14.016 24542  4684 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
